14:05:26.155 [ApplicationImpl pooled thread 11] INFO  c.b.l.BrowserStackRunExtension - cucumber java
14:05:26.157 [ApplicationImpl pooled thread 11] INFO  com.browserstack.utils.Helpers - null
14:05:26.157 [ApplicationImpl pooled thread 11] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
14:13:14.685 [ApplicationImpl pooled thread 18] INFO  c.b.l.BrowserStackRunExtension - cucumber java
14:13:14.685 [ApplicationImpl pooled thread 18] INFO  com.browserstack.utils.Helpers - null
14:13:14.687 [ApplicationImpl pooled thread 18] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
14:21:09.132 [ApplicationImpl pooled thread 18] INFO  c.b.l.BrowserStackRunExtension - cucumber java
14:21:09.132 [ApplicationImpl pooled thread 18] INFO  com.browserstack.utils.Helpers - null
14:21:09.133 [ApplicationImpl pooled thread 18] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
14:23:40.826 [ApplicationImpl pooled thread 25] INFO  c.b.l.BrowserStackRunExtension - cucumber java
14:23:40.826 [ApplicationImpl pooled thread 25] INFO  com.browserstack.utils.Helpers - null
14:23:40.828 [ApplicationImpl pooled thread 25] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
14:25:49.669 [ApplicationImpl pooled thread 25] INFO  c.b.l.BrowserStackRunExtension - cucumber java
14:25:49.671 [ApplicationImpl pooled thread 25] INFO  com.browserstack.utils.Helpers - null
14:25:49.672 [ApplicationImpl pooled thread 25] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
14:26:29.902 [ApplicationImpl pooled thread 50] INFO  c.b.l.BrowserStackRunExtension - cucumber java
14:26:29.903 [ApplicationImpl pooled thread 50] INFO  com.browserstack.utils.Helpers - null
14:26:29.905 [ApplicationImpl pooled thread 50] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
14:27:44.534 [ApplicationImpl pooled thread 52] INFO  c.b.l.BrowserStackRunExtension - cucumber java
14:27:44.534 [ApplicationImpl pooled thread 52] INFO  com.browserstack.utils.Helpers - null
14:27:44.535 [ApplicationImpl pooled thread 52] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
14:28:19.609 [ApplicationImpl pooled thread 51] INFO  c.b.l.BrowserStackRunExtension - cucumber java
14:28:19.610 [ApplicationImpl pooled thread 51] INFO  com.browserstack.utils.Helpers - null
14:28:19.611 [ApplicationImpl pooled thread 51] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
17:07:50.386 [ApplicationImpl pooled thread 121] INFO  c.b.l.BrowserStackRunExtension - cucumber java
17:07:50.386 [ApplicationImpl pooled thread 121] INFO  com.browserstack.utils.Helpers - null
17:07:50.387 [ApplicationImpl pooled thread 121] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
17:08:49.703 [ApplicationImpl pooled thread 118] INFO  c.b.l.BrowserStackRunExtension - cucumber java
17:08:49.703 [ApplicationImpl pooled thread 118] INFO  com.browserstack.utils.Helpers - null
17:08:49.705 [ApplicationImpl pooled thread 118] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
17:09:26.001 [ApplicationImpl pooled thread 130] INFO  c.b.l.BrowserStackRunExtension - cucumber java
17:09:26.001 [ApplicationImpl pooled thread 130] INFO  com.browserstack.utils.Helpers - null
17:09:26.003 [ApplicationImpl pooled thread 130] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
17:10:47.325 [ApplicationImpl pooled thread 17] INFO  c.b.l.BrowserStackRunExtension - cucumber java
17:10:47.327 [ApplicationImpl pooled thread 17] INFO  com.browserstack.utils.Helpers - null
17:10:47.329 [ApplicationImpl pooled thread 17] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
17:11:17.608 [ApplicationImpl pooled thread 20] INFO  c.b.l.BrowserStackRunExtension - cucumber java
17:11:17.609 [ApplicationImpl pooled thread 20] INFO  com.browserstack.utils.Helpers - null
17:11:17.610 [ApplicationImpl pooled thread 20] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
17:11:52.614 [ApplicationImpl pooled thread 12] INFO  c.b.l.BrowserStackRunExtension - cucumber java
17:11:52.614 [ApplicationImpl pooled thread 12] INFO  com.browserstack.utils.Helpers - null
17:11:52.616 [ApplicationImpl pooled thread 12] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
17:12:41.061 [ApplicationImpl pooled thread 25] INFO  c.b.l.BrowserStackRunExtension - cucumber java
17:12:41.061 [ApplicationImpl pooled thread 25] INFO  com.browserstack.utils.Helpers - null
17:12:41.063 [ApplicationImpl pooled thread 25] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
17:13:32.835 [ApplicationImpl pooled thread 12] INFO  c.b.l.BrowserStackRunExtension - cucumber java
17:13:32.835 [ApplicationImpl pooled thread 12] INFO  com.browserstack.utils.Helpers - null
17:13:32.837 [ApplicationImpl pooled thread 12] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
17:13:44.822 [ApplicationImpl pooled thread 17] INFO  c.b.l.BrowserStackRunExtension - cucumber java
17:13:44.823 [ApplicationImpl pooled thread 17] INFO  com.browserstack.utils.Helpers - null
17:13:44.824 [ApplicationImpl pooled thread 17] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
17:15:26.713 [ApplicationImpl pooled thread 17] INFO  c.b.l.BrowserStackRunExtension - cucumber java
17:15:26.713 [ApplicationImpl pooled thread 17] INFO  com.browserstack.utils.Helpers - null
17:15:26.715 [ApplicationImpl pooled thread 17] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
17:16:05.747 [ApplicationImpl pooled thread 12] INFO  c.b.l.BrowserStackRunExtension - cucumber java
17:16:05.747 [ApplicationImpl pooled thread 12] INFO  com.browserstack.utils.Helpers - null
17:16:05.748 [ApplicationImpl pooled thread 12] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
